dataset,init,kmeans,award
kovaleva_1000x15_c12_m60_a0.5_s2095.pts,3929.3878140449524,4842.386688232421,1.5258288383483891
kovaleva_1000x15_c12_m60_a0.5_s2895.pts,4726.080264806747,3896.043289899826,1.734269380569458
kovaleva_1000x15_c12_m60_a0.5_s3725.pts,3459.4868993759155,5725.74723482132,2.217836618423462
kovaleva_1000x15_c12_m60_a0.5_s4252.pts,4711.592982530594,4195.027573108673,1.1613678932189948
kovaleva_1000x15_c12_m60_a0.5_s4400.pts,3766.975184440613,4162.757811546324,0.9559535980224604
kovaleva_1000x15_c12_m60_a0.5_s5388.pts,3605.0584633350372,4925.379909753799,2.6146862506866455
kovaleva_1000x15_c12_m60_a0.5_s5486.pts,4456.648580312729,4678.164594888687,1.5250139236450195
kovaleva_1000x15_c12_m60_a0.5_s6472.pts,3747.1982619762416,5125.218396186828,1.5705764293670654
kovaleva_1000x15_c12_m60_a0.5_s6635.pts,4394.2598605155945,6002.704013109207,2.050589799880982
kovaleva_1000x15_c12_m60_a0.5_s8285.pts,5635.553452253342,4214.457144498824,1.3686921596527102
kovaleva_1000x15_c19_m35_a0.5_s2095.pts,5124.752454042435,6831.441645622253,0.04444551467895508
kovaleva_1000x15_c19_m35_a0.5_s2895.pts,6483.21506357193,7259.659000873566,0.04570508003234863
kovaleva_1000x15_c19_m35_a0.5_s3725.pts,4640.021465063095,5856.837541818619,0.04384922981262207
kovaleva_1000x15_c19_m35_a0.5_s4252.pts,4438.413911104202,6525.89350771904,0.04180765151977539
kovaleva_1000x15_c19_m35_a0.5_s4400.pts,4844.294949054718,6768.788719892502,0.0466303825378418
kovaleva_1000x15_c19_m35_a0.5_s5388.pts,4708.219974040985,5420.066526651382,0.041046142578125
kovaleva_1000x15_c19_m35_a0.5_s5486.pts,5095.685673952103,5673.988421678542,0.04359030723571777
kovaleva_1000x15_c19_m35_a0.5_s6472.pts,5108.608394384384,5737.525406122208,0.04700922966003418
kovaleva_1000x15_c19_m35_a0.5_s6635.pts,4192.108730792999,6061.649062871933,0.04239201545715332
kovaleva_1000x15_c19_m35_a0.5_s8285.pts,6530.437088727951,6828.646595716476,0.043460845947265625
kovaleva_1000x15_c7_m100_a0.5_s2095.pts,2984.0954024791718,3680.341256141662,8.658451557159422
kovaleva_1000x15_c7_m100_a0.5_s2895.pts,1958.5820944309235,1608.9570856094365,2.492044448852539
kovaleva_1000x15_c7_m100_a0.5_s3725.pts,2254.654315471649,3153.4980022907266,7.006955623626707
kovaleva_1000x15_c7_m100_a0.5_s4252.pts,2628.137546777725,4609.84294104576,16.740463733673096
kovaleva_1000x15_c7_m100_a0.5_s4400.pts,2658.7158415317535,2833.5417115688324,7.593300580978393
kovaleva_1000x15_c7_m100_a0.5_s5388.pts,2483.700403213501,3983.4864523410793,8.580887317657474
kovaleva_1000x15_c7_m100_a0.5_s5486.pts,2315.0040748119354,2655.4566900730133,5.421586275100706
kovaleva_1000x15_c7_m100_a0.5_s6472.pts,2263.809312105179,3237.958142518997,6.0309529304504395
kovaleva_1000x15_c7_m100_a0.5_s6635.pts,2098.8866517543797,2264.569128990174,4.3708810806274405
kovaleva_1000x15_c7_m100_a0.5_s8285.pts,3664.8777189254756,3095.819685935974,9.734138011932371
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,831.5041711330414,332.58302736282343,0.02699899673461914
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,903.0285096168518,375.8737823963165,0.031219005584716797
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,782.609316110611,444.06849122047424,0.04012203216552731
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,880.4758968353271,344.20836329460144,0.07869958877563478
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,829.124921798706,431.83359932899475,0.029761314392089844
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,832.9657607078552,429.63102746009827,0.04604029655456538
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,904.2561938762665,343.5806083679199,0.03014349937438965
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,810.4426536560059,393.3342499732971,0.028414249420166016
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,708.3574328422546,399.9050295352936,0.02710700035095215
rc_ch100_s1981_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,778.5280034542084,394.988210439682,0.0628681182861328
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1095.4352164268491,630.7804281711578,0.03376507759094238
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,955.4179329872131,497.8240797519684,0.030357122421264652
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1209.7960596084597,513.2974188327789,0.034919023513793945
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,952.4099564552308,723.7943205833435,0.02921605110168457
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,1017.782904624939,603.5673689842224,0.032552242279052734
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,977.0625143051146,560.7040045261382,0.030524492263793945
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1227.2695906162262,626.7703461647033,0.03298306465148926
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s6472].pts,1378.2507202625275,707.1764705181122,0.035691261291503906
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,1107.3269772529604,587.6219418048859,0.038544893264770515
rc_ch100_s1981_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1025.9696717262268,623.4984755516052,0.031207561492919922
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,590.8838143348695,211.8417453765869,0.09737825393676766
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,459.04815578460693,219.42448544502258,0.08748626708984378
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,576.6282308101654,254.91700339317322,0.8391597270965575
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,699.3295447826385,339.5963187217713,0.7485959529876709
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,571.6715071201324,254.56555700302124,1.7658510208129883
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,580.9475283622742,317.94458484649664,1.3591952323913574
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,526.8158843517303,216.82103180885315,0.2677221298217772
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,563.6966803073883,225.7547292709351,0.42904305458068814
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,590.8663713932037,193.81064653396606,0.255446195602417
rc_ch100_s1981_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,473.478173494339,184.40874099731448,0.04380702972412113
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,779.3138847351074,315.5064482688904,0.02806997299194336
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,1206.0939638614655,406.71462202072144,0.028888940811157227
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,954.3107616901398,389.00038266181946,0.1835556030273439
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,738.35724568367,320.53665804862976,0.02718520164489746
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,850.4552328586578,395.10632514953613,0.029250383377075195
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,844.6502282619475,403.47723913192755,0.029422760009765625
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,815.0137493610383,388.464834690094,0.030051469802856445
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,746.7255134582518,358.4327042102814,0.029279232025146484
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,760.7946474552155,415.98221802711487,0.029558181762695312
rc_ch100_s2945_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,790.0075850486757,403.6993188858032,0.02806258201599121
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1014.0066161155701,612.408774137497,0.03278946876525879
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,991.4482219219209,595.5866177082062,0.031246662139892578
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1188.57737994194,557.642594575882,0.03355050086975098
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,1007.7011449337006,564.9545149803162,0.029283761978149414
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,952.6306164264679,606.7468650341034,0.03151297569274902
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,918.3005003929138,544.450931787491,0.02857184410095215
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1127.4568829536438,515.7442035675049,0.033507347106933594
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s6472].pts,1067.3734221458433,562.0881202220917,0.03499889373779297
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,932.8893468379973,642.6242935657501,0.03163003921508789
rc_ch100_s2945_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1141.2342855930328,641.3120563030243,0.03299903869628906
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,624.1949377059937,239.4282510280609,1.037023782730102
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,478.6692037582398,205.11610388755798,0.046518325805664035
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,557.4805881977081,206.26955604553223,0.19116520881652824
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,652.5085728168489,252.5050389766693,2.8133814334869385
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,533.7368590831757,235.86405897140503,0.3016014099121095
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,616.1775074005126,416.6294813156128,1.3701241016387942
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,541.5733296871185,224.4375429153442,0.5561249256134035
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,1118.6824548244474,240.0072109699249,1.0054895877838133
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,509.93972349166876,345.22458958625793,0.7603800296783447
rc_ch100_s2945_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,494.7146108150482,204.71732783317566,0.17912888526916496
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,686.3856418132782,319.71156144142157,0.025447845458984375
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,930.157214641571,463.8246626853943,0.030553817749023438
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,852.6731688976288,503.4673657417298,0.029100894927978516
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,819.2850382328035,332.57284331321716,0.03118562698364258
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,786.9272904396057,339.5951192378998,0.030449867248535156
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,800.3687746524811,372.6720633506775,0.06570053100585942
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,962.2407717704774,424.05885601043695,0.029289722442626953
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,814.5529389381409,313.5642042160034,0.03059983253479004
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,871.9214022159575,367.30316495895386,0.030682086944580078
rc_ch100_s3648_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,772.3273916244507,386.3969032764435,0.04584765434265138
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1059.5691492557526,638.8859007358551,0.04623389244079592
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,1076.6726002693176,683.0306305885315,0.030223369598388672
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1020.075553894043,592.2861130237579,0.03458714485168457
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,911.8915884494783,567.111424446106,0.028661012649536133
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,995.68089056015,511.503873348236,0.031659841537475586
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,910.4969670772552,602.1439967155457,0.030608415603637695
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1025.1760387420654,514.8476514816284,0.032817840576171875
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s6472].pts,1054.7890326976776,660.406759262085,0.033991098403930664
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,1000.690435409546,509.9690623283386,0.03311514854431152
rc_ch100_s3648_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1104.7623002529144,588.673730134964,0.03376293182373047
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,838.4984583854675,253.66680383682248,1.315964937210083
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,530.315345287323,214.90124869346616,0.321073532104492
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,616.9910769462585,214.0141155719757,0.2691218852996827
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,588.5674285888672,327.4978024959564,6.106168031692506
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,573.4948787689208,233.78777146339417,0.16949224472045896
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,754.2786226272583,226.55607676506042,1.3174850940704341
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,658.1696841716765,290.00048828125,0.5388560295104975
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,530.901035785675,209.73663139343267,0.26110148429870605
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,538.5638830661773,182.84594345092773,0.42505669593811
rc_ch100_s3648_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,525.7431643009186,228.63540887832642,0.7318904399871827
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,691.8069372177123,261.8924877643585,0.026941537857055664
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,769.4393320083618,373.97160172462463,0.02952742576599121
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,902.7771542072297,475.68298053741455,0.027130126953125
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,738.16579246521,347.4791307449341,0.026770830154418945
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,829.562937259674,410.0545620918274,0.031124353408813477
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,926.6282191276549,429.044095993042,0.11221981048583998
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,889.7878887653351,417.5437350273132,0.030364990234375
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,886.8437795639038,438.9010977745056,0.029042959213256836
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,756.8367323875427,411.0408720970154,0.04194092750549315
rc_ch100_s5417_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,844.1959862709047,426.3308074474335,0.02832961082458496
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1054.1857533454895,678.4786686897278,0.033582448959350586
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,1145.7939279079437,868.7201869487761,0.03390216827392578
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1108.3552551269531,514.5035173892975,0.03449368476867675
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,1157.7512493133545,589.8342590332031,0.03094768524169922
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,952.0745432376862,451.2457251548767,0.032808780670166016
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,954.6393332481384,547.5224344730377,0.03125905990600586
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1075.3255107402802,550.694591999054,0.03412222862243652
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s6472].pts,991.6570625305176,557.2959761619568,0.03534269332885742
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,978.3816339969636,592.7359223365784,0.032562971115112305
rc_ch100_s5417_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1105.0969879627228,509.82005286216736,0.03496551513671875
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,493.9515941143036,189.6611506938934,0.42372941970825195
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,597.4482865333557,198.04304599761963,0.37498831748962425
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,586.4502704143523,251.0958127975464,2.0401110649108887
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,666.6777617931366,271.9386188983917,3.133497953414917
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,505.1298260688782,225.93762588500977,0.41633272171020497
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,686.0722494125366,363.66611552238464,3.1372201442718506
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,545.9247794151306,225.41070270538327,0.4029150009155278
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,506.83360719680786,234.1885368824005,0.5638964176177977
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,503.9180145263672,179.24391365051267,0.3235323429107666
rc_ch100_s5417_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,482.2985215187073,203.2596275806427,0.33940935134887706
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,721.7207975387574,320.4087333679199,0.027313232421875
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,925.9888060092927,518.0195341110231,0.029378890991210938
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,963.4471032619475,437.1995701789856,0.15089082717895505
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,699.2701938152313,282.15409994125366,0.027544260025024414
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,755.9866666793823,344.86665987968445,0.029102087020874023
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,752.375688791275,387.4272084236145,0.02955007553100586
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,919.6493642330171,393.0306875705719,0.029986858367919922
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,1088.8589851856232,415.5281660556794,0.030445098876953125
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,756.4309523105621,371.54678893089294,0.029345035552978516
rc_ch100_s8943_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,785.6800675392152,420.29579544067394,0.027678251266479492
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1226.8486578464508,843.6400785446167,0.032820940017700195
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,1042.2833292484283,581.6783611774445,0.027439117431640625
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1042.2707886695862,512.1729161739349,0.034345388412475586
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,947.2709176540375,543.9219000339508,0.030292987823486328
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,1045.6957812309265,529.4953753948213,0.031070709228515625
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,1048.647458076477,573.9769747257233,0.03272509574890137
rc_ch100_s8943_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1065.903418302536,650.5438511371613,0.03461623191833496
